t,cmd_thr,cmd_r,cmd_p,cmd_y,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wr,wp,wy
4.919,0.7,0.0,0.0,0.0,-23.703710556030273,0.009951171465218067,-38.51523971557617,6.295467376708984,-0.013068574480712414,-25.936336517333984,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.0752603669261897e-16,2.9668694394692843e-14,7.243055811969722e-15
4.9292,0.7,0.0,0.0,0.0,-23.703710556030273,0.009951171465218067,-38.51523971557617,6.295467376708984,-0.013068574480712414,-25.936336517333984,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.0752603669261897e-16,2.9668694394692843e-14,7.243055811969722e-15
4.9392,0.7,0.0,0.0,0.0,-23.703710556030273,0.009951171465218067,-38.51523971557617,6.295467376708984,-0.013068574480712414,-25.936336517333984,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.0752603669261897e-16,2.9668694394692843e-14,7.243055811969722e-15
4.9495,0.7,0.0,0.0,0.0,-23.703710556030273,0.009951171465218067,-38.51523971557617,6.295467376708984,-0.013068574480712414,-25.936336517333984,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.0752603669261897e-16,2.9668694394692843e-14,7.243055811969722e-15
4.9595,0.7,0.0,0.0,0.0,-23.83281135559082,0.010009765625,-38.72577667236328,6.327876091003418,-0.013133469969034195,-26.0324764251709,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.0304928720912933e-16,1.4732217046764182e-14,5.424563318608307e-15
4.9698,0.7,0.0,0.0,0.0,-24.307538986206055,0.01025390625,-39.499351501464844,6.342995643615723,-0.013163330964744091,-26.075817108154297,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-7.366253789532545e-17,1.0530945486844114e-14,4.727421321700127e-15
4.9798,0.7,0.0,0.0,0.0,-24.307538986206055,0.01025390625,-39.499351501464844,6.342995643615723,-0.013163330964744091,-26.075817108154297,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-7.366253789532545e-17,1.0530945486844114e-14,4.727421321700127e-15
4.9901,0.7,0.0,0.0,0.0,-24.637069702148438,0.010419921949505806,-40.03588104248047,6.362418174743652,-0.013201300986111164,-26.13003158569336,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-4.778674014789064e-17,6.831667156081359e-15,3.956137260369358e-15
5.0005,0.7,0.0,0.0,0.0,-24.637069702148438,0.010419921949505806,-40.03588104248047,6.362418174743652,-0.013201300986111164,-26.13003158569336,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-4.778674014789064e-17,6.831667156081359e-15,3.956137260369358e-15
5.0106,0.7,0.0,0.0,0.0,-24.637069702148438,0.010419921949505806,-40.03588104248047,6.362418174743652,-0.013201300986111164,-26.13003158569336,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-4.778674014789064e-17,6.831667156081359e-15,3.956137260369358e-15
